[1702747019.031841, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747019.0821626, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747019.1331165, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747019.1836512, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747019.2341402, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747019.2844138, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747019.3350387, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747019.3853433, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747019.4360507, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747019.4863424, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747019.5370212, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747019.5883224, [-0.0, -0.0, 0.2, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747019.641353, [-0.0, -0.0, 0.9, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747019.694315, [-0.0, -0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747019.745852, [-0.0, -0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747019.7981808, [-0.0, -0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747019.8489184, [-0.0, -0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747019.9010217, [-0.0, -0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747019.9527009, [-0.0, -0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.0041652, [-0.0, -0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.0562007, [-0.0, -0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.1080585, [-0.0, -0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.1596131, [-0.0, -0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.211643, [-0.0, -0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.262465, [-0.0, -0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.3151731, [-0.0, -0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.3665214, [-0.0, -0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.4181, [-0.0, -0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.4699707, [-0.0, -0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.5207293, [-0.0, -0.0, 0.6, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.571268, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.6219563, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.6726172, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.7232375, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.7741258, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.8249476, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.8753023, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.9257019, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747020.9761865, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747021.0264924, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
[1702747021.1252306, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], False]
