[1702751172.876341, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751172.9834185, [-0.0, 0.0, 0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751173.0897331, [0.0, 0.0, 0.2, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751173.195402, [-0.0, 0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751173.3033195, [-0.0, 0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751173.40971, [-0.0, 0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751173.5164046, [-0.0, 0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751173.621934, [-0.0, 0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751173.728362, [-0.0, 0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751173.83391, [-0.0, 0.0, 1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751173.9406528, [-0.0, 0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751174.045024, [-0.0, 0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751174.1502016, [-0.0, 0.0, -0.2, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751174.2625194, [-0.0, 0.0, -1.0, -0.3], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751174.370304, [-0.0, 0.0, -1.0, -0.4], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751174.4781005, [-0.0, 0.0, -1.0, -0.5], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751174.5844166, [-0.0, 0.0, -1.0, -0.5], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751174.6908138, [-0.0, 0.0, -1.0, -0.5], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751174.7967043, [-0.0, 0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751174.9022748, [-0.0, 0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751175.0103447, [-0.0, 0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751175.118813, [-0.0, 0.0, -1.0, 0.2], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751175.2249048, [-0.0, 0.0, -1.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751175.3326082, [-0.0, 0.0, -1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751175.439185, [-0.0, 0.0, -1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751175.5470998, [-0.0, 0.0, -1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751175.6535554, [-0.0, 0.0, -1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751175.7607498, [-0.0, 0.0, -1.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751175.8671029, [-0.0, 0.0, -1.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751175.9744413, [-0.0, 0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751176.0827804, [-0.0, 0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751176.1894977, [-0.0, 0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751176.2987053, [-0.0, 0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751176.4056838, [-0.0, 0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1702751176.5134556, [-0.0, 0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
